Sample number,Total handshake duration (s),Total handshake packets,Total handshake size (B),Time MasterInformationBlock (s),Time SIB1 (s),Time SIB2 SIB3 (s),Time RRCConnectionRequest (s),Time RRCConnectionSetup (s),Time RRCConnectionSetupComplete (s),Size MasterInformationBlock (B),Size SIB1 (B),Size SIB2 SIB3 (B),Size RRCConnectionRequest (B),Size RRCConnectionSetup (B),Size RRCConnectionSetupComplete (B),
1,1.176344871520996,7,582,0.0,0.09175896644592285,1.1120920181274414,1.13456392288208,1.1475739479064941,1.176344871520996,37,127,75,41,66,191,
2,1.165205955505371,7,582,0.0,0.09870004653930664,1.09706711769104,1.1215860843658447,1.1350951194763184,1.165205955505371,37,127,75,41,66,191,
3,1.1812479496002197,7,582,0.0,0.09791398048400879,1.111630916595459,1.136328935623169,1.150169849395752,1.1812479496002197,37,127,75,41,66,191,
4,1.1490240097045898,7,582,0.0,0.0967710018157959,1.0795621871948242,1.1032869815826416,1.118913173675537,1.1490240097045898,37,127,75,41,66,191,
5,1.1051390171051025,7,582,0.0,0.09654402732849121,1.0359609127044678,1.0602600574493408,1.0739569664001465,1.1051390171051025,37,127,75,41,66,191,
6,1.2126879692077637,7,582,0.0,0.09693098068237305,1.1443510055541992,1.1682860851287842,1.1820311546325684,1.2126879692077637,37,127,75,41,66,191,
7,1.2044949531555176,7,582,0.0,0.09654784202575684,1.1346378326416016,1.1586189270019531,1.1724119186401367,1.2044949531555176,37,127,75,41,66,191,
8,1.194854974746704,7,582,0.0,0.09334802627563477,1.127708911895752,1.1513559818267822,1.1649138927459717,1.194854974746704,37,127,75,41,66,191,
9,1.1298818588256836,7,582,0.0,0.09713196754455566,1.061095952987671,1.0853228569030762,1.0988738536834717,1.1298818588256836,37,127,75,41,66,191,
10,1.1976361274719238,7,582,0.0,0.09848308563232422,1.1292309761047363,1.1535990238189697,1.167726993560791,1.1976361274719238,37,127,75,41,66,191,
11,1.2640609741210938,7,582,0.0,0.09625816345214844,1.1950290203094482,1.2195470333099365,1.2338130474090576,1.2640609741210938,37,127,75,41,66,191,
12,1.1619539260864258,7,582,0.0,0.09707999229431152,1.0926969051361084,1.1173858642578125,1.1317479610443115,1.1619539260864258,37,127,75,41,66,191,
13,1.2492640018463135,7,582,0.0,0.0952749252319336,1.1814348697662354,1.2055630683898926,1.2193338871002197,1.2492640018463135,37,127,75,41,66,191,
14,1.16239595413208,7,582,0.0,0.09592604637145996,1.0938360691070557,1.1184310913085938,1.1321160793304443,1.16239595413208,37,127,75,41,66,191,
15,1.195199966430664,7,582,0.0,0.07080388069152832,1.1270370483398438,1.1512889862060547,1.165177822113037,1.195199966430664,37,127,75,41,66,191,
16,1.1865508556365967,7,582,0.0,0.09671401977539062,1.1174437999725342,1.1420958042144775,1.1559538841247559,1.1865508556365967,37,127,75,41,66,191,
17,1.158825159072876,7,582,0.0,0.09334802627563477,1.0953600406646729,1.117915153503418,1.1309142112731934,1.158825159072876,37,127,75,41,66,191,
18,1.1919939517974854,7,582,0.0,0.09570503234863281,1.1246271133422852,1.1488871574401855,1.1621601581573486,1.1919939517974854,37,127,75,41,66,191,
