Sample number,Total handshake duration (s),Total handshake packets,Total handshake size (B),Time MasterInformationBlock (s),Time SIB1 (s),Time SIB2 SIB3 (s),Time RRCConnectionRequest (s),Time RRCConnectionSetup (s),Time RRCConnectionSetupComplete (s),Size MasterInformationBlock (B),Size SIB1 (B),Size SIB2 SIB3 (B),Size RRCConnectionRequest (B),Size RRCConnectionSetup (B),Size RRCConnectionSetupComplete (B),
1,0.3485581874847412,7,602,0.0,0.09552717208862305,0.27985215187072754,0.3034780025482178,0.3168601989746094,0.3485581874847412,37,147,75,41,66,191,
2,0.3453199863433838,7,602,0.0,0.0961618423461914,0.27712392807006836,0.3008718490600586,0.3144400119781494,0.3453199863433838,37,147,75,41,66,191,
3,0.336259126663208,7,602,0.0,0.06939101219177246,0.269442081451416,0.29295802116394043,0.30639004707336426,0.336259126663208,37,147,75,41,66,191,
4,0.33351993560791016,7,602,0.0,0.09253811836242676,0.26734304428100586,0.29022812843322754,0.3035550117492676,0.33351993560791016,37,147,75,41,66,191,
5,0.33594799041748047,7,602,0.0,0.09238100051879883,0.26910901069641113,0.29283714294433594,0.30625104904174805,0.33594799041748047,37,147,75,41,66,191,
6,0.34376001358032227,7,602,0.0,0.09606504440307617,0.27650904655456543,0.2998051643371582,0.31366395950317383,0.34376001358032227,37,147,75,41,66,191,
7,0.34592103958129883,7,602,0.0,0.09583806991577148,0.276806116104126,0.3007619380950928,0.3156239986419678,0.34592103958129883,37,147,75,41,66,191,
8,0.27243995666503906,7,602,0.0,0.09597897529602051,0.20252013206481934,0.22683000564575195,0.24106407165527344,0.27243995666503906,37,147,75,41,66,191,
9,0.3502380847930908,7,602,0.0,0.09594607353210449,0.281343936920166,0.30580902099609375,0.3196139335632324,0.3502380847930908,37,147,75,41,66,191,
10,0.28232884407043457,7,602,0.0,0.08567190170288086,0.2154710292816162,0.2389519214630127,0.25228095054626465,0.28232884407043457,37,147,75,41,66,191,
11,0.3483390808105469,7,602,0.0,0.09626412391662598,0.27892589569091797,0.3033030033111572,0.3170459270477295,0.3483390808105469,37,147,75,41,66,191,
12,0.3527059555053711,7,602,0.0,0.09944605827331543,0.28333497047424316,0.3081049919128418,0.32178711891174316,0.3527059555053711,37,147,75,41,66,191,
13,0.32587194442749023,7,602,0.0,0.08180904388427734,0.2582130432128906,0.2822539806365967,0.29596400260925293,0.32587194442749023,37,147,75,41,66,191,
14,0.33742189407348633,7,602,0.0,0.09250307083129883,0.2694239616394043,0.29292798042297363,0.30634093284606934,0.33742189407348633,37,147,75,41,66,191,
15,0.33620619773864746,7,602,0.0,0.08425021171569824,0.2674100399017334,0.2916691303253174,0.30553507804870605,0.33620619773864746,37,147,75,41,66,191,
