Sample number,Total handshake duration (s),Total handshake packets,Total handshake size (B),Time MasterInformationBlock (s),Time SIB1 (s),Time SIB2 SIB3 (s),Time RRCConnectionRequest (s),Time RRCConnectionSetup (s),Time RRCConnectionSetupComplete (s),Size MasterInformationBlock (B),Size SIB1 (B),Size SIB2 SIB3 (B),Size RRCConnectionRequest (B),Size RRCConnectionSetup (B),Size RRCConnectionSetupComplete (B),
1,0.32395386695861816,7,602,0.0,0.06348299980163574,0.2562129497528076,0.2786288261413574,0.2917180061340332,0.32395386695861816,37,147,75,41,66,191,
2,0.32105302810668945,7,602,0.0,0.06386303901672363,0.25536108016967773,0.2776350975036621,0.28971099853515625,0.32105302810668945,37,147,75,41,66,191,
3,0.3262660503387451,7,602,0.0,0.06393790245056152,0.25942087173461914,0.28156089782714844,0.2945568561553955,0.3262660503387451,37,147,75,41,66,191,
4,0.3357670307159424,7,602,0.0,0.06412911415100098,0.26729702949523926,0.2895500659942627,0.30150818824768066,0.3357670307159424,37,147,75,41,66,191,
5,0.3300909996032715,7,602,0.0,0.0642850399017334,0.26322507858276367,0.2870481014251709,0.30031895637512207,0.3300909996032715,37,147,75,41,66,191,
6,0.31763291358947754,7,602,0.0,0.06444597244262695,0.254396915435791,0.2764739990234375,0.2883598804473877,0.31763291358947754,37,147,75,41,66,191,
7,0.3188800811767578,7,602,0.0,0.06417202949523926,0.25423598289489746,0.2760651111602783,0.2880101203918457,0.3188800811767578,37,147,75,41,66,191,
8,0.31877803802490234,7,602,0.0,0.06413698196411133,0.2542390823364258,0.2763221263885498,0.2881951332092285,0.31877803802490234,37,147,75,41,66,191,
9,0.3181180953979492,7,602,0.0,0.06347107887268066,0.25321102142333984,0.2754061222076416,0.2882671356201172,0.3181180953979492,37,147,75,41,66,191,
10,0.31738710403442383,7,602,0.0,0.06331419944763184,0.25300121307373047,0.2751791477203369,0.2880570888519287,0.31738710403442383,37,147,75,41,66,191,
11,0.31961703300476074,7,602,0.0,0.06442093849182129,0.2536799907684326,0.27599096298217773,0.2895629405975342,0.31961703300476074,37,147,75,41,66,191,
12,0.3172619342803955,7,602,0.0,0.06394386291503906,0.25324583053588867,0.2752988338470459,0.28722095489501953,0.3172619342803955,37,147,75,41,66,191,
13,0.3230290412902832,7,602,0.0,0.07004714012145996,0.25966811180114746,0.281696081161499,0.2933921813964844,0.3230290412902832,37,147,75,41,66,191,
14,0.31963419914245605,7,602,0.0,0.06379103660583496,0.25356101989746094,0.2757561206817627,0.2876310348510742,0.31963419914245605,37,147,75,41,66,191,
15,0.32047319412231445,7,602,0.0,0.0642240047454834,0.2540581226348877,0.27625012397766113,0.28806018829345703,0.32047319412231445,37,147,75,41,66,191,
16,0.320080041885376,7,602,0.0,0.06448197364807129,0.25388097763061523,0.2759881019592285,0.28804612159729004,0.320080041885376,37,147,75,41,66,191,
17,0.318011999130249,7,602,0.0,0.06403398513793945,0.2534909248352051,0.27693986892700195,0.2889828681945801,0.318011999130249,37,147,75,41,66,191,
18,0.31887292861938477,7,602,0.0,0.06400704383850098,0.25365781784057617,0.27579498291015625,0.28876304626464844,0.31887292861938477,37,147,75,41,66,191,
19,0.3222470283508301,7,602,0.0,0.06409215927124023,0.2540872097015381,0.2762441635131836,0.289247989654541,0.3222470283508301,37,147,75,41,66,191,
20,0.31791090965270996,7,602,0.0,0.0651240348815918,0.2549600601196289,0.2771260738372803,0.2902998924255371,0.31791090965270996,37,147,75,41,66,191,
