SIB1 additional size (bytes),Time duration to transmit (milliseconds)
8,804.454
16,781.273
32,805.586
64,806.681
128,809.064
255,804.883
8,784.063
16,804.594
32,807.192
64,809.712
128,781.859
255,803.902
8,782.924
16,808.098
32,805.597
64,806.643
128,785.961
255,806.218
8,801.861
16,803.758
32,783.441
64,805.973
128,803.649
255,805.905
8,805.462
16,804.860
32,808.274
64,803.902
128,805.603
255,783.328
8,808.755
16,784.013
32,781.907
64,803.354
128,804.527
255,807.142
8,807.061
16,806.774
32,785.179
64,805.467
128,808.228
255,805.618
8,807.180
16,808.433
32,805.975
64,805.882
128,806.080
255,807.690
8,807.050
16,803.916
32,807.390
64,780.818
128,805.876
255,808.768
8,806.676
16,805.987
32,804.150
64,806.944
128,782.327
255,784.419
8,805.227
16,805.695
32,780.879
64,806.695
128,805.420
255,805.923
8,804.095
16,806.720
32,806.043
64,807.729
128,809.472
255,809.603
8,800.421
16,804.065
32,802.693
64,806.023
128,782.328
255,785.870
8,805.995
16,783.768
32,806.121
64,799.153
128,805.458
255,805.754
8,783.507
16,804.535
32,782.533
64,784.006
128,807.946
255,806.160
8,805.122
16,806.328
32,806.814
64,805.578
128,806.213
255,805.947
8,785.346
16,800.592
32,807.709
64,805.349
128,782.148
255,807.965
8,803.238
16,784.640
32,785.145
64,805.706
128,807.997
255,812.745
8,807.127
16,782.042
32,805.291
64,808.215
128,811.337
255,806.601
8,784.173
16,825.569
32,806.234
64,807.583
128,806.963
255,804.592
8,805.767
16,805.370
32,783.520
64,808.898
128,807.241
255,806.501
8,808.202
16,807.006
32,783.789
64,806.527
128,806.139
255,803.154
8,806.217
16,806.139
32,784.213
64,805.956
128,782.319
255,806.189
8,805.543
16,803.653
32,805.913
64,808.576
128,806.080
255,799.742
8,802.977
16,807.686
32,804.360
64,808.006
128,806.355
255,806.282
8,807.552
16,807.380
32,805.390
64,806.362
128,783.335
255,805.441
8,808.336
16,804.737
32,805.784
64,805.083
128,804.489
255,800.938
8,805.280
16,805.124
32,807.137
64,805.760
128,807.794
255,805.525
8,804.256
16,798.641
32,807.655
64,806.866
128,809.514
255,808.548
8,805.732
16,801.855
32,807.234
64,804.593
128,805.841
255,782.764
8,805.439
16,805.960
32,803.915
64,781.829
128,805.766
255,807.311
8,807.047
16,787.300
32,807.387
64,804.752
128,806.931
255,806.149
8,808.177
16,806.198
32,806.282
64,806.952
128,781.951
255,784.588
8,782.168
16,805.599
32,807.263
64,807.434
128,806.735
255,784.397
8,805.890
16,784.419
32,805.252
64,805.909
128,804.787
255,805.887
8,804.596
16,782.172
32,784.517
64,804.531
128,806.278
255,805.227
8,804.763
16,807.848
32,806.098
64,781.344
128,804.797
255,806.493
8,784.829
16,808.763
32,805.009
64,810.930
128,806.312
255,805.009
8,806.154
16,806.316
32,785.949
64,805.308
128,807.447
255,815.015
8,806.856
16,810.220
32,782.534
64,808.703
128,804.168
255,805.778
8,806.980
16,783.955
32,807.715
64,805.405
128,806.490
255,807.072
8,806.327
16,806.270
32,807.653
64,806.289
128,805.859
255,806.227
8,807.223
16,784.295
32,782.048
64,807.211
128,808.372
255,781.903
8,806.751
16,782.480
32,805.166
64,808.377
128,782.541
255,802.155
8,814.585
16,803.550
32,783.506
64,805.083
128,807.123
255,805.807
8,780.745
16,780.041
32,806.643
64,807.707
128,808.233
255,782.117
8,806.400
16,803.102
32,807.072
64,806.632
128,803.088
255,792.222
8,804.698
16,805.577
32,805.374
64,783.739
128,805.353
255,780.984
8,804.844
16,804.824
32,804.699
64,803.972
128,788.585
255,806.152
8,809.107
16,806.263
32,804.157
64,802.265
128,803.374
255,805.111
8,805.838
16,802.650
32,806.278
64,779.059
128,803.830
255,805.347
8,804.608
16,804.669
32,784.712
64,811.884
128,806.092
255,806.000
8,802.775
16,783.823
32,783.261
64,783.348
128,782.549
255,805.562
8,805.168
16,785.184
32,805.656
64,805.346
128,807.543
255,805.164
8,800.362
16,807.997
32,783.242
64,807.756
128,805.190
255,798.754
8,806.778
16,803.195
32,784.704
64,805.193
128,797.491
255,808.274
8,784.858
16,802.473
32,804.322
64,806.814
128,802.998
255,804.286
8,781.613
16,805.243
32,798.355
64,806.666
128,783.628
255,784.498
8,800.557
16,806.097
32,804.806
64,806.639
128,800.898
255,803.767
8,806.747
16,804.914
32,802.808
64,803.882
128,806.632
255,803.239
8,805.094
16,805.842
32,782.247
64,812.152
128,805.912
255,803.124
8,804.005
16,807.371
32,805.533
64,806.782
128,805.927
255,801.974
8,803.498
16,808.760
