SIB1 additional size (bytes),Time duration to transmit (milliseconds),BelowThreshold,AboveThreshold
8,804.454,,804.454
16,781.273,781.273,
32,805.586,,805.586
64,806.681,,806.681
128,809.064,,809.064
255,804.883,,804.883
8,784.063,784.063,
16,804.594,,804.594
32,807.192,,807.192
64,809.712,,809.712
128,781.859,781.859,
255,803.902,,803.902
8,782.924,782.924,
16,808.098,,808.098
32,805.597,,805.597
64,806.643,,806.643
128,785.961,785.961,
255,806.218,,806.218
8,801.861,801.861,
16,803.758,,803.758
32,783.441,783.441,
64,805.973,,805.973
128,803.649,,803.649
255,805.905,,805.905
8,805.462,,805.462
16,804.86,,804.86
32,808.274,,808.274
64,803.902,,803.902
128,805.603,,805.603
255,783.328,783.328,
8,808.755,,808.755
16,784.013,784.013,
32,781.907,781.907,
64,803.354,,803.354
128,804.527,,804.527
255,807.142,,807.142
8,807.061,,807.061
16,806.774,,806.774
32,785.179,785.179,
64,805.467,,805.467
128,808.228,,808.228
255,805.618,,805.618
8,807.18,,807.18
16,808.433,,808.433
32,805.975,,805.975
64,805.882,,805.882
128,806.08,,806.08
255,807.69,,807.69
8,807.05,,807.05
16,803.916,,803.916
32,807.39,,807.39
64,780.818,780.818,
128,805.876,,805.876
255,808.768,,808.768
8,806.676,,806.676
16,805.987,,805.987
32,804.15,,804.15
64,806.944,,806.944
128,782.327,782.327,
255,784.419,784.419,
8,805.227,,805.227
16,805.695,,805.695
32,780.879,780.879,
64,806.695,,806.695
128,805.42,,805.42
255,805.923,,805.923
8,804.095,,804.095
16,806.72,,806.72
32,806.043,,806.043
64,807.729,,807.729
128,809.472,,809.472
255,809.603,,809.603
8,800.421,800.421,
16,804.065,,804.065
32,802.693,,802.693
64,806.023,,806.023
128,782.328,782.328,
255,785.87,785.87,
8,805.995,,805.995
16,783.768,783.768,
32,806.121,,806.121
64,799.153,799.153,
128,805.458,,805.458
255,805.754,,805.754
8,783.507,783.507,
16,804.535,,804.535
32,782.533,782.533,
64,784.006,784.006,
128,807.946,,807.946
255,806.16,,806.16
8,805.122,,805.122
16,806.328,,806.328
32,806.814,,806.814
64,805.578,,805.578
128,806.213,,806.213
255,805.947,,805.947
8,785.346,785.346,
16,800.592,800.592,
32,807.709,,807.709
64,805.349,,805.349
128,782.148,782.148,
255,807.965,,807.965
8,803.238,,803.238
16,784.64,784.64,
32,785.145,785.145,
64,805.706,,805.706
128,807.997,,807.997
255,812.745,,812.745
8,807.127,,807.127
16,782.042,782.042,
32,805.291,,805.291
64,808.215,,808.215
128,811.337,,811.337
255,806.601,,806.601
8,784.173,784.173,
16,825.569,,825.569
32,806.234,,806.234
64,807.583,,807.583
128,806.963,,806.963
255,804.592,,804.592
8,805.767,,805.767
16,805.37,,805.37
32,783.52,783.52,
64,808.898,,808.898
128,807.241,,807.241
255,806.501,,806.501
8,808.202,,808.202
16,807.006,,807.006
32,783.789,783.789,
64,806.527,,806.527
128,806.139,,806.139
255,803.154,,803.154
8,806.217,,806.217
16,806.139,,806.139
